usn,name,name_fr,category,h_psn,root_node.usn,root_node.name_fr,nht_period,egc_tagx.glb500.y2023,egc_tagx.chn500.y2023,egc_tagx.soe.y2023,egc_tagx.plc.y2023,egc_tagx.nht.y2023,egc_tagx.isc100.y2023,egc_tagx.fic500_all.y2023,egc_tagx.fic500_mfg.y2023,egc_tagx.fic100_svc.y2023,h_comments
a7o,江苏常熟农村商业银行股份有限公司,江苏常熟农村商业银行股份有限公司,ent,i-root,a7o,江苏常熟农村商业银行股份有限公司,{},nf-404,nf-404,nf-404,plc,nf-404,nf-404,nf-404,nf-404,nf-404,
a7t,江苏鼎速网络科技有限公司,江苏鼎速网络科技有限公司,ent,i-root,a7t,江苏鼎速网络科技有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a7w,江苏国泰汉帛实业发展有限公司,江苏国泰汉帛实业发展有限公司,ent,av7,av7,江苏国泰国际集团股份有限公司,{},nf-404,[chn],nf-404,[plc],nf-404,nf-404,[fic],nf-404,[fic],
a81,江苏华研教育科技有限公司,江苏华研教育科技有限公司,ent,i-root,a81,江苏华研教育科技有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a82,江苏江南农村商业银行股份有限公司,江苏江南农村商业银行股份有限公司,ent,i-root,a82,江苏江南农村商业银行股份有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a85,江苏金恒信息科技股份有限公司,江苏金恒信息科技股份有限公司,ent,av8,bhz,中国中信集团有限公司,"{""2023-01-23"":""2026-01-23"",""2016-01-23"":""2022-01-23""}",[glb],[chn],[soe],[plc],nf-404,nf-404,nf-404,nf-404,nf-404,
a83,江苏江阴农村商业银行股份有限公司,江苏江阴农村商业银行股份有限公司,ent,i-root,a83,江苏江阴农村商业银行股份有限公司,{},nf-404,nf-404,nf-404,plc,nf-404,nf-404,nf-404,nf-404,nf-404,
a84,江苏金风软件技术有限公司,江苏金风软件技术有限公司,ent,i-root,a84,江苏金风软件技术有限公司,"{""2019-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a86,江苏骏安信息测评认证有限公司,江苏骏安信息测评认证有限公司,ent,i-root,a86,江苏骏安信息测评认证有限公司,"{""2021-01-23"":""2024-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a87,江苏科技大学,江苏科技大学,pin,i-root,a87,江苏科技大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a88,江苏蓝创智能科技股份有限公司,江苏蓝创智能科技股份有限公司,ent,i-root,a88,江苏蓝创智能科技股份有限公司,"{""2016-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a89,江苏礼安文化传媒有限公司,江苏礼安文化传媒有限公司,ent,i-root,a89,江苏礼安文化传媒有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a8b,江苏鲁汶仪器股份有限公司,江苏鲁汶仪器股份有限公司,ent,i-root,a8b,江苏鲁汶仪器股份有限公司,"{""2021-01-23"":""2024-01-23"",""2017-01-23"":""2020-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,240117:在2211改名增加股份2字
a8a,江苏立华牧业股份有限公司,江苏立华牧业股份有限公司,ent,i-root,a8a,江苏立华牧业股份有限公司,{},nf-404,nf-404,nf-404,plc,nf-404,nf-404,nf-404,nf-404,nf-404,
a8c,江苏满运物流信息有限公司,江苏满运物流信息有限公司,ent,i-root,a8c,江苏满运物流信息有限公司,"{""2023-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a8d,江苏梦之舟教育科技有限公司,江苏梦之舟教育科技有限公司,ent,i-root,a8d,江苏梦之舟教育科技有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a8e,江苏南瑞恒驰电气装备有限公司,江苏南瑞恒驰电气装备有限公司,ent,av9,ava,中国电气装备集团有限公司,"{""2014-01-23"":""2023-01-23""}",nf-404,nf-404,[soe],[plc],nht,nf-404,nf-404,nf-404,nf-404,
a8h,江苏三维智能制造研究院有限公司,江苏三维智能制造研究院有限公司,ent,i-root,a8h,江苏三维智能制造研究院有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a8i,江苏森标科技有限公司,江苏森标科技有限公司,ent,i-root,a8i,江苏森标科技有限公司,"{""2019-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a8j,江苏深网科技有限公司,江苏深网科技有限公司,ent,i-root,a8j,江苏深网科技有限公司,"{""2023-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a8k,江苏省测绘工程院,江苏省测绘工程院,pin,i-root,a8k,江苏省测绘工程院,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a8l,江苏省公安科学技术研究所,江苏省公安科学技术研究所,pin,i-root,a8l,江苏省公安科学技术研究所,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a8m,江苏省惠山中等专业学校,江苏省惠山中等专业学校,pin,i-root,a8m,江苏省惠山中等专业学校,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a8n,江苏省气象信息中心,江苏省气象信息中心,pin,i-root,a8n,江苏省气象信息中心,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a8f,江苏曲速教育科技有限公司,江苏曲速教育科技有限公司,ent,i-root,a8f,江苏曲速教育科技有限公司,"{""2020-01-23"":""2023-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a8o,江苏省泰兴市卓航电子科技有限公司,江苏省泰兴市卓航电子科技有限公司,ent,i-root,a8o,江苏省泰兴市卓航电子科技有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a8r,江苏省吴中中等专业学校,江苏省吴中中等专业学校,pin,i-root,a8r,江苏省吴中中等专业学校,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a8s,江苏税软软件科技有限公司,江苏税软软件科技有限公司,ent,i-root,a8s,江苏税软软件科技有限公司,"{""2016-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a8t,江苏苏州农村商业银行股份有限公司,江苏苏州农村商业银行股份有限公司,ent,i-root,a8t,江苏苏州农村商业银行股份有限公司,{},nf-404,nf-404,nf-404,plc,nf-404,nf-404,nf-404,nf-404,nf-404,
a8u,江苏随易信息科技有限公司,江苏随易信息科技有限公司,ent,i-root,a8u,江苏随易信息科技有限公司,"{""2013-01-23"":""2016-01-23""}",nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a8g,江苏瑞中数据股份有限公司,江苏瑞中数据股份有限公司,ent,i-root,a8g,江苏瑞中数据股份有限公司,"{""2015-01-23"":""2024-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a8q,江苏省无锡市公安局,江苏省无锡市公安局,gpo,i-root,a8q,江苏省无锡市公安局,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a8v,江苏太湖云计算信息技术股份有限公司,江苏太湖云计算信息技术股份有限公司,ent,i-root,a8v,江苏太湖云计算信息技术股份有限公司,"{""2015-01-23"":""2024-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a8w,江苏泰坦智慧科技有限公司,江苏泰坦智慧科技有限公司,ent,i-root,a8w,江苏泰坦智慧科技有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a8y,江苏信息职业技术学院,江苏信息职业技术学院,pin,i-root,a8y,江苏信息职业技术学院,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a8x,江苏微导纳米科技股份有限公司,江苏微导纳米科技股份有限公司,ent,i-root,a8x,江苏微导纳米科技股份有限公司,"{""2019-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,plc,nht,nf-404,nf-404,nf-404,nf-404,
a8p,江苏省无锡交通高等职业技术学校,江苏省无锡交通高等职业技术学校,pin,i-root,a8p,江苏省无锡交通高等职业技术学校,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a8z,江苏星闪世图科技（集团）有限公司,江苏星闪世图科技（集团）有限公司,ent,i-root,a8z,江苏星闪世图科技（集团）有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a90,江苏洋河酒厂股份有限公司,江苏洋河酒厂股份有限公司,ent,i-root,a90,江苏洋河酒厂股份有限公司,{},nf-404,chn,nf-404,plc,nf-404,nf-404,nf-404,nf-404,nf-404,
a91,江苏银行股份有限公司,江苏银行股份有限公司,ent,i-root,a91,江苏银行股份有限公司,{},nf-404,chn,nf-404,plc,nf-404,nf-404,nf-404,nf-404,nf-404,
a92,江苏银行股份有限公司常州分行,江苏银行股份有限公司常州分行,ent,a91,a91,江苏银行股份有限公司,{},nf-404,[chn],nf-404,[plc],nf-404,nf-404,nf-404,nf-404,nf-404,
a93,江苏雨润肉食品有限公司,江苏雨润肉食品有限公司,ent,i-root,a93,江苏雨润肉食品有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a94,江苏中科云墨数字科技有限公司,江苏中科云墨数字科技有限公司,ent,i-root,a94,江苏中科云墨数字科技有限公司,"{""2023-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a95,江苏中铭慧业科技有限公司,江苏中铭慧业科技有限公司,ent,i-root,a95,江苏中铭慧业科技有限公司,"{""2019-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a96,江苏自动化研究所（中国船舶集团有限公司第七一六研究所）,江苏自动化研究所（中国船舶集团有限公司第七一六研究所）,ent,at0,at0,中国船舶集团有限公司,{},[glb],[chn],[soe],nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,240116：参考http://www.cssc.net.cn/n11/index.html
a97,江西省机场集团有限公司,江西省机场集团有限公司,ent,au6,au6,首都机场集团有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a98,江阴新基电子设备有限公司,江阴新基电子设备有限公司,ent,i-root,a98,江阴新基电子设备有限公司,"{""2018-01-23"":""2024-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a99,交通银行股份有限公司,交通银行股份有限公司,ent,i-root,a99,交通银行股份有限公司,{},glb,chn,soe,plc,nf-404,nf-404,nf-404,nf-404,nf-404,
a9a,交通银行股份有限公司湖南省分行,交通银行股份有限公司湖南省分行,ent,a99,a99,交通银行股份有限公司,{},[glb],[chn],[soe],[plc],nf-404,nf-404,nf-404,nf-404,nf-404,
a9e,交通银行股份有限公司浙江省分行,交通银行股份有限公司浙江省分行,ent,a99,a99,交通银行股份有限公司,{},[glb],[chn],[soe],[plc],nf-404,nf-404,nf-404,nf-404,nf-404,
a9b,交通银行股份有限公司山东省分行,交通银行股份有限公司山东省分行,ent,a99,a99,交通银行股份有限公司,{},[glb],[chn],[soe],[plc],nf-404,nf-404,nf-404,nf-404,nf-404,
a9g,杰克科技股份有限公司,杰克科技股份有限公司,ent,i-root,a9g,杰克科技股份有限公司,"{""2009-01-23"":""2024-01-23""}",nf-404,nf-404,nf-404,plc,nht,nf-404,nf-404,nf-404,nf-404,
a9c,交通银行股份有限公司苏州分行,交通银行股份有限公司苏州分行,ent,a99,a99,交通银行股份有限公司,{},[glb],[chn],[soe],[plc],nf-404,nf-404,nf-404,nf-404,nf-404,
a9d,交通银行股份有限公司无锡分行,交通银行股份有限公司无锡分行,ent,a99,a99,交通银行股份有限公司,{},[glb],[chn],[soe],[plc],nf-404,nf-404,nf-404,nf-404,nf-404,
a9h,捷普电子（无锡）有限公司,捷普电子（无锡）有限公司,ent,avb,avb,捷普公司,{},[glb],nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a9j,金坛工业和信息化局,金坛工业和信息化局,gpo,i-root,a9j,金坛工业和信息化局,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a9i,金华市农业农村局大数据发展中心,金华市农业农村局大数据发展中心,pin,i-root,a9i,金华市农业农村局大数据发展中心,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a9k,九州大学,九州大学,[pin],i-root,a9k,九州大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a9n,巨人移动技术有限公司,巨人移动技术有限公司,ent,i-root,a9n,巨人移动技术有限公司,"{""2022-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a9o,喀什地区叶城县人民法院,喀什地区叶城县人民法院,gpo,i-root,a9o,喀什地区叶城县人民法院,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a9p,开沃新能源汽车集团股份有限公司,开沃新能源汽车集团股份有限公司,ent,i-root,a9p,开沃新能源汽车集团股份有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,240117:集团有很多企业，视同高新
a9q,科大国创软件股份有限公司,科大国创软件股份有限公司,ent,i-root,a9q,科大国创软件股份有限公司,"{""2008-01-23"":""2023-01-23""}",nf-404,nf-404,nf-404,plc,nht,nf-404,nf-404,nf-404,nf-404,
a9m,巨量引擎（上海）计算机科技有限公司,巨量引擎（上海）计算机科技有限公司,ent,axr,awi,抖音有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a9s,科为升视觉技术（苏州）有限公司,科为升视觉技术（苏州）有限公司,ent,i-root,a9s,科为升视觉技术（苏州）有限公司,"{""2020-01-23"":""2023-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a9r,科大讯飞股份有限公司,科大讯飞股份有限公司,ent,i-root,a9r,科大讯飞股份有限公司,"{""2008-01-23"":""2023-01-23""}",nf-404,nf-404,nf-404,plc,nht,nf-404,nf-404,nf-404,nf-404,
a9t,客迈软件（杭州）有限公司长沙分公司,客迈软件（杭州）有限公司长沙分公司,ent,at2,at2,客迈软件（杭州）有限公司,{},nf-404,nf-404,nf-404,nf-404,[nht],nf-404,nf-404,nf-404,nf-404,
a9u,狂想文化传播（湖州市）有限公司,狂想文化传播（湖州市）有限公司,ent,i-root,a9u,狂想文化传播（湖州市）有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a9v,昆仑银行股份有限公司,昆仑银行股份有限公司,ent,axg,axa,中国石油天然气集团有限公司,{},[glb],[chn],[soe],[plc],nf-404,nf-404,nf-404,nf-404,nf-404,
a9l,旧金山艺术大学,旧金山艺术大学,[pin],i-root,a9l,旧金山艺术大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a9y,昆山语汐网络科技有限公司,昆山语汐网络科技有限公司,ent,i-root,a9y,昆山语汐网络科技有限公司,"{""2021-01-23"":""2024-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a9w,昆明理工大学,昆明理工大学,pin,i-root,a9w,昆明理工大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a9z,兰州大学,兰州大学,pin,i-root,a9z,兰州大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a9x,昆明市官渡区教育体育局,昆明市官渡区教育体育局,gpo,i-root,a9x,昆明市官渡区教育体育局,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,240207：取教育，虽然体育只是直属。
aa0,兰州银行股份有限公司,兰州银行股份有限公司,ent,i-root,aa0,兰州银行股份有限公司,{},nf-404,nf-404,nf-404,plc,nf-404,nf-404,nf-404,nf-404,nf-404,
aa2,朗新科技股份有限公司,朗新科技股份有限公司,ent,i-root,aa2,朗新科技股份有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
aa1,蓝深远望科技股份有限公司,蓝深远望科技股份有限公司,ent,i-root,aa1,蓝深远望科技股份有限公司,"{""2009-01-23"":""2024-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
aa3,朗新科技集团股份有限公司,朗新科技集团股份有限公司,ent,i-root,aa3,朗新科技集团股份有限公司,"{""2008-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,plc,nht,nf-404,nf-404,nf-404,nf-404,
aa4,浪潮集团有限公司,浪潮集团有限公司,ent,i-root,aa4,浪潮集团有限公司,"{""2008-01-23"":""2023-01-23""}",nf-404,[chn],nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,240119:旗下公司是chn，视为chn
aa7,荔波县统计局,荔波县统计局,gpo,i-root,aa7,荔波县统计局,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
aa6,利兹大学,利兹大学,[pin],i-root,aa6,利兹大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
aa9,联合汽车电子有限公司,联合汽车电子有限公司,ent,bjs,atf,上海汽车集团股份有限公司,"{""2008-01-23"":""2023-01-23""}",[glb],[chn],nf-404,[plc],nht,nf-404,nf-404,nf-404,nf-404,240224：参考母公司简介是和BOSCH合资的-https://www.saicmotor.com/chinese/xxgk/ssqyxxgk/shqcxgtzyxgs/56552.shtml；更多评价参考https://zhuanlan.zhihu.com/p/508775900
aaa,联通支付有限公司,联通支付有限公司,ent,aub,aue,中国联合网络通信集团有限公司,"{""2013-01-23"":""2025-01-23""}",[glb],[chn],[soe],[plc],nht,nf-404,nf-404,nf-404,nf-404,
a9f,焦点科技股份有限公司,焦点科技股份有限公司,ent,i-root,a9f,焦点科技股份有限公司,"{""2008-01-23"":""2023-01-23""}",nf-404,nf-404,nf-404,plc,nht,isc,nf-404,nf-404,nf-404,
aa5,立得空间信息技术股份有限公司,立得空间信息技术股份有限公司,ent,i-root,aa5,立得空间信息技术股份有限公司,"{""2008-01-23"":""2023-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
aa8,连云港诺森医药科技有限公司,连云港诺森医药科技有限公司,ent,i-root,aa8,连云港诺森医药科技有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
aac,联想（北京）有限公司,联想（北京）有限公司,ent,avd,ave,联想控股股份有限公司,"{""2008-01-23"":""2023-01-23""}",[glb],[chn],nf-404,nf-404,nht,nf-404,[fic],[fic],nf-404,
aaf,楝泽园科技发展有限公司,楝泽园科技发展有限公司,ent,i-root,aaf,楝泽园科技发展有限公司,"{""2022-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
aag,临沂市公安局,临沂市公安局,gpo,i-root,aag,临沂市公安局,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
aah,无锡凌志软件有限公司,无锡凌志软件有限公司,ent,ax8,ax8,苏州工业园区凌志软件股份有限公司,{},nf-404,nf-404,nf-404,[plc],[nht],nf-404,nf-404,nf-404,nf-404,
aae,脸萌技术（深圳）有限公司,脸萌技术（深圳）有限公司,ent,i-root,aae,脸萌技术（深圳）有限公司,"{""2022-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
aai,领目科技（上海）有限公司,领目科技（上海）有限公司,ent,i-root,aai,领目科技（上海）有限公司,"{""2021-01-23"":""2024-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
aad,联想（天津）有限公司,联想（天津）有限公司,ent,aac,ave,联想控股股份有限公司,{},[glb],[chn],nf-404,nf-404,[nht],nf-404,[fic],[fic],nf-404,
aaj,隆基乐叶光伏科技有限公司,隆基乐叶光伏科技有限公司,ent,avg,avg,隆基绿能科技股份有限公司,{},nf-404,[chn],nf-404,[plc],[nht],nf-404,[fic],[fic],nf-404,
aak,伦敦国王学院,伦敦国王学院,[pin],i-root,aak,伦敦国王学院,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
aal,罗氏诊断产品（上海）有限公司,罗氏诊断产品（上海）有限公司,ent,bjt,bjt,瑞士罗氏公司,{},[glb],nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
aab,联通智网科技股份有限公司,联通智网科技股份有限公司,ent,aub,aue,中国联合网络通信集团有限公司,"{""2017-01-23"":""2023-01-23""}",[glb],[chn],[soe],[plc],nht,nf-404,nf-404,nf-404,nf-404,
aap,美国 加州大学,美国 加州大学,[pin],i-root,aap,美国 加州大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
aan,马鞍山钢铁股份有限公司,马鞍山钢铁股份有限公司,ent,bje,bdu,中国宝武钢铁集团有限公司,"{""2022-01-23"":""2025-01-23""}",[glb],[chn],[soe],plc,nht,nf-404,nf-404,nf-404,nf-404,
aaq,美国 纽约大学,美国 纽约大学,[pin],i-root,aaq,美国 纽约大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
aar,美国 萨凡纳艺术设计大学,美国 萨凡纳艺术设计大学,[pin],i-root,aar,美国 萨凡纳艺术设计大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
aao,马鞍山职业技术学院,马鞍山职业技术学院,pin,i-root,aao,马鞍山职业技术学院,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
aas,美国纽约大学,美国纽约大学,[pin],i-root,aas,美国纽约大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
aau,闽南师范大学,闽南师范大学,pin,i-root,aau,闽南师范大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
aam,绿盟科技集团股份有限公司,绿盟科技集团股份有限公司,ent,i-root,aam,绿盟科技集团股份有限公司,"{""2008-01-23"":""2023-01-23""}",nf-404,nf-404,nf-404,plc,nht,nf-404,nf-404,nf-404,nf-404,
aav,莫斯科国立大学（预科）,莫斯科国立大学（预科）,[pin],i-root,aav,莫斯科国立大学（预科）,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
aay,南方科技大学,南方科技大学,pin,i-root,aay,南方科技大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
aaz,南京步步高通信科技有限公司,南京步步高通信科技有限公司,ent,i-root,aaz,南京步步高通信科技有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
aaw,墨尔本大学,墨尔本大学,[pin],i-root,aaw,墨尔本大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
aat,美国萨凡纳艺术与设计学院,美国萨凡纳艺术与设计学院,[pin],i-root,aat,美国萨凡纳艺术与设计学院,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
ab1,南京纯白矩阵科技有限公司,南京纯白矩阵科技有限公司,ent,i-root,ab1,南京纯白矩阵科技有限公司,"{""2020-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
ab2,南京大学,南京大学,pin,i-root,ab2,南京大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
ab3,南京电研电力自动化股份有限公司,南京电研电力自动化股份有限公司,ent,bju,atr,特变电工股份有限公司,"{""2008-01-23"":""2023-01-23""}",nf-404,[chn],nf-404,[plc],nht,nf-404,nf-404,nf-404,nf-404,
ab5,南京烽火星空通信发展有限公司,南京烽火星空通信发展有限公司,ent,azz,azz,烽火通信科技股份有限公司,"{""2011-01-23"":""2023-01-23""}",nf-404,[chn],nf-404,[plc],nht,nf-404,nf-404,nf-404,nf-404,240224：关系来自aiqicha
ab4,南京烽火天地通信科技有限公司,南京烽火天地通信科技有限公司,ent,ab5,azz,烽火通信科技股份有限公司,"{""2020-01-23"":""2023-01-23""}",nf-404,[chn],nf-404,[plc],nht,nf-404,nf-404,nf-404,nf-404,
aax,那曲市职业技术学校,那曲市职业技术学校,pin,i-root,aax,那曲市职业技术学校,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
ab6,南京富士通软件技术有限公司江阴分公司,南京富士通软件技术有限公司江阴分公司,ent,avh,avh,富士通,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,240111：母公司也不是hte；世界500强
ab0,南京城市职业学院（南京开放大学）,南京城市职业学院（南京开放大学）,pin,i-root,ab0,南京城市职业学院（南京开放大学）,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
ab7,南京工业大学,南京工业大学,pin,i-root,ab7,南京工业大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
ab8,南京鼓楼医院集团宿迁医院,南京鼓楼医院集团宿迁医院,org,i-root,ab8,南京鼓楼医院集团宿迁医院,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,240111：民办非企业
ab9,南京光辉人力资源管理服务有限公司,南京光辉人力资源管理服务有限公司,ent,i-root,ab9,南京光辉人力资源管理服务有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
aba,南京海能达软件科技有限公司,南京海能达软件科技有限公司,ent,bjv,bjv,海能达通信股份有限公司,{},nf-404,nf-404,nf-404,[plc],nf-404,nf-404,nf-404,nf-404,nf-404,
abd,南京莱斯信息技术股份有限公司,南京莱斯信息技术股份有限公司,ent,ao4,au8,中国电子科技集团有限公司,"{""2008-01-23"":""2023-01-23""}",[glb],[chn],[soe],plc,nht,nf-404,nf-404,nf-404,nf-404,
abe,南京理工大学,南京理工大学,pin,i-root,abe,南京理工大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
abf,南京联迪信息系统股份有限公司,南京联迪信息系统股份有限公司,ent,i-root,abf,南京联迪信息系统股份有限公司,"{""2012-01-23"":""2024-01-23""}",nf-404,nf-404,nf-404,plc,nht,nf-404,nf-404,nf-404,nf-404,
