usn,name,name_fr,category,h_psn,root_node.usn,root_node.name_fr,nht_period,egc_tagx.glb500.y2023
ab6,南京富士通软件技术有限公司江阴分公司,南京富士通软件技术有限公司江阴分公司,ent,avh,avh,富士通,{},nf04
ab0,南京城市职业学院（南京开放大学）,南京城市职业学院（南京开放大学）,pin,root-node,ab0,南京城市职业学院（南京开放大学）,{},nf04
ab7,南京工业大学,南京工业大学,pin,root-node,ab7,南京工业大学,{},nf04
ab8,南京鼓楼医院集团宿迁医院,南京鼓楼医院集团宿迁医院,org,root-node,ab8,南京鼓楼医院集团宿迁医院,{},nf04
ab9,南京光辉人力资源管理服务有限公司,南京光辉人力资源管理服务有限公司,ent,root-node,ab9,南京光辉人力资源管理服务有限公司,{},nf04
aba,南京海能达软件科技有限公司,南京海能达软件科技有限公司,ent,bjv,bjv,海能达通信股份有限公司,{},nf04
abd,南京莱斯信息技术股份有限公司,南京莱斯信息技术股份有限公司,ent,ao4,au8,中国电子科技集团有限公司,"{""2008-01-23"":""2023-01-23""}",[glb]
abe,南京理工大学,南京理工大学,pin,root-node,abe,南京理工大学,{},nf04
abf,南京联迪信息系统股份有限公司,南京联迪信息系统股份有限公司,ent,root-node,abf,南京联迪信息系统股份有限公司,"{""2012-01-23"":""2024-01-23""}",nf04
abg,南京南瑞信息通信科技有限公司,南京南瑞信息通信科技有限公司,ent,a4i,atq,国家电网有限公司,"{""2020-01-23"":""2023-01-23""}",[glb]
abh,南京芃辰启智科技有限公司,南京芃辰启智科技有限公司,ent,root-node,abh,南京芃辰启智科技有限公司,{},nf04
abj,南京市城市数字治理中心,南京市城市数字治理中心,pin,root-node,abj,南京市城市数字治理中心,{},nf04
abi,南京软通动力信息技术服务有限公司,南京软通动力信息技术服务有限公司,ent,ass,ass,软通动力信息技术（集团）股份有限公司,"{""2017-01-23"":""2023-01-23""}",nf04
abk,南京市雨花台区教育局下属学校,南京市雨花台区教育局下属学校,[pin],root-node,abk,南京市雨花台区教育局下属学校,{},nf04
abl,南京苏宁软件技术有限公司,南京苏宁软件技术有限公司,ent,atl,atl,苏宁易购集团股份有限公司,"{""2022-01-23"":""2025-01-23""}",nf04
abm,南京万普拉斯软件技术有限公司,南京万普拉斯软件技术有限公司,ent,root-node,abm,南京万普拉斯软件技术有限公司,{},nf04
abn,南京新东方文化艺术发展有限公司,南京新东方文化艺术发展有限公司,ent,avi,avi,新东方教育科技集团有限公司,{},nf04
abb,南京航空航天大学,南京航空航天大学,pin,root-node,abb,南京航空航天大学,{},nf04
abc,南京莱斯电子设备有限公司,南京莱斯电子设备有限公司,ent,ao4,au8,中国电子科技集团有限公司,"{""2019-01-23"":""2025-01-23""}",[glb]
abr,南京银行股份有限公司苏州分行,南京银行股份有限公司苏州分行,ent,abq,abq,南京银行股份有限公司,{},nf04
abs,南京云问网络技术有限公司,南京云问网络技术有限公司,ent,root-node,abs,南京云问网络技术有限公司,"{""2020-01-23"":""2023-01-23""}",nf04
abo,南京熊猫汉达科技有限公司,南京熊猫汉达科技有限公司,ent,at5,at4,中国电子信息产业集团有限公司,"{""2019-01-23"":""2025-01-23""}",[glb]
abt,南京臻融软件科技有限公司,南京臻融软件科技有限公司,ent,root-node,abt,南京臻融软件科技有限公司,"{""2018-01-23"":""2024-01-23""}",nf04
abu,南京中新赛克科技有限责任公司,南京中新赛克科技有限责任公司,ent,root-node,abu,南京中新赛克科技有限责任公司,"{""2009-01-23"":""2024-01-23""}",nf04
abv,南京筑网信息科技有限公司,南京筑网信息科技有限公司,ent,root-node,abv,南京筑网信息科技有限公司,{},nf04
abw,南开大学,南开大学,pin,root-node,abw,南开大学,{},nf04
abx,南陵县邓修田种养综合家庭农场,南陵县邓修田种养综合家庭农场,ent,root-node,abx,南陵县邓修田种养综合家庭农场,{},nf04
aby,南陵县公共就业和人才服务中心,南陵县公共就业和人才服务中心,pin,root-node,aby,南陵县公共就业和人才服务中心,{},nf04
abz,南通理工学院,南通理工学院,pin,root-node,abz,南通理工学院,{},nf04
ac0,南通市通州区人民医院,南通市通州区人民医院,pin,root-node,ac0,南通市通州区人民医院,{},nf04
ac1,南通智能感知研究院,南通智能感知研究院,pin,root-node,ac1,南通智能感知研究院,{},nf04
ac3,华为技术有限公司,华为技术有限公司,ent,asy,asy,华为投资控股有限公司,"{""2008-01-23"":""2026-01-23""}",[glb]
ac2,内蒙古伊利实业集团股份有限公司液态奶事业部,内蒙古伊利实业集团股份有限公司液态奶事业部,ent,at6,at6,内蒙古伊利实业集团股份有限公司,{},nf04
ac4,霓检有限公司,霓检有限公司,ent,root-node,ac4,霓检有限公司,{},nf04
ac5,宁波工业互联网研究院有限公司,宁波工业互联网研究院有限公司,ent,root-node,ac5,宁波工业互联网研究院有限公司,{},nf04
ac6,宁波银行股份有限公司,宁波银行股份有限公司,ent,root-node,ac6,宁波银行股份有限公司,{},nf04
ac7,宁波银行股份有限公司南京分行,宁波银行股份有限公司南京分行,ent,ac6,ac6,宁波银行股份有限公司,{},nf04
abp,南京医科大学,南京医科大学,pin,root-node,abp,南京医科大学,{},nf04
abq,南京银行股份有限公司,南京银行股份有限公司,ent,root-node,abq,南京银行股份有限公司,{},nf04
ac8,纽约大学,纽约大学,[pin],root-node,ac8,纽约大学,{},nf04
ac9,欧思朗光电半导体（中国）有限公司,欧思朗光电半导体（中国）有限公司,ent,avj,avj,ams-OSRAM 艾迈斯欧司朗公司,{},nf04
acb,七十五团文体广电服务中心,七十五团文体广电服务中心,pin,root-node,acb,七十五团文体广电服务中心,{},nf04
acd,启东晟云智慧信息技术有限公司,启东晟云智慧信息技术有限公司,ent,root-node,acd,启东晟云智慧信息技术有限公司,{},nf04
aca,莆田市中金兴源商贸有限公司,莆田市中金兴源商贸有限公司,ent,root-node,aca,莆田市中金兴源商贸有限公司,{},nf04
ace,乾安县广源仓惠农副产品开发有限公司,乾安县广源仓惠农副产品开发有限公司,ent,root-node,ace,乾安县广源仓惠农副产品开发有限公司,{},nf04
acf,青岛贝塔信息技术有限公司,青岛贝塔信息技术有限公司,ent,root-node,acf,青岛贝塔信息技术有限公司,"{""2019-01-23"":""2025-01-23""}",nf04
acg,青岛鼎信通讯股份有限公司,青岛鼎信通讯股份有限公司,ent,root-node,acg,青岛鼎信通讯股份有限公司,"{""2013-01-23"":""2025-01-23""}",nf04
ach,青岛海尔人力资源开发有限公司,青岛海尔人力资源开发有限公司,ent,root-node,ach,青岛海尔人力资源开发有限公司,{},nf04
aci,青岛芮羽木业有限公司,青岛芮羽木业有限公司,ent,root-node,aci,青岛芮羽木业有限公司,{},nf04
acc,奇安信科技集团股份有限公司,奇安信科技集团股份有限公司,ent,root-node,acc,奇安信科技集团股份有限公司,"{""2023-01-23"":""2026-01-23"",""2015-01-23"":""2021-01-23""}",nf04
acj,青岛钛合精密金属有限公司,青岛钛合精密金属有限公司,ent,root-node,acj,青岛钛合精密金属有限公司,{},nf04
acl,青岛学而思文理培训学校,青岛学而思文理培训学校,ent,aw0,aw0,北京世纪好未来教育科技有限公司,{},nf04
ack,青岛天行网络技术有限公司,青岛天行网络技术有限公司,ent,root-node,ack,青岛天行网络技术有限公司,{},nf04
acp,任丘市恩万文化传媒有限公司,任丘市恩万文化传媒有限公司,ent,root-node,acp,任丘市恩万文化传媒有限公司,{},nf04
acq,任拓数据科技（上海）有限公司,任拓数据科技（上海）有限公司,ent,root-node,acq,任拓数据科技（上海）有限公司,"{""2020-01-23"":""2023-01-23""}",nf04
aco,人民解放军63880部队,人民解放军63880部队,[gpo],root-node,aco,人民解放军63880部队,{},nf04
acs,日本早稻田大学,日本早稻田大学,[pin],root-node,acs,日本早稻田大学,{},nf04
acr,日本 优尼塔斯语言学校,日本 优尼塔斯语言学校,[pin],root-node,acr,日本 优尼塔斯语言学校,{},nf04
acu,日本筑波大学,日本筑波大学,[pin],root-node,acu,日本筑波大学,{},nf04
acv,荣旗工业科技（苏州）股份有限公司,荣旗工业科技（苏州）股份有限公司,ent,root-node,acv,荣旗工业科技（苏州）股份有限公司,"{""2021-01-23"":""2024-01-23"",""2017-01-23"":""2020-01-23""}",nf04
acn,趋势科技（中国）有限公司南京分公司,趋势科技（中国）有限公司南京分公司,ent,root-node,acn,趋势科技（中国）有限公司南京分公司,{},nf04
acw,荣耀终端有限公司南京分公司,荣耀终端有限公司南京分公司,ent,at7,at7,荣耀终端有限公司,{},nf04
acm,清华大学,清华大学,pin,root-node,acm,清华大学,{},nf04
acx,锐捷网络（苏州）有限公司,锐捷网络（苏州）有限公司,ent,root-node,acx,锐捷网络（苏州）有限公司,"{""2022-01-23"":""2025-01-23""}",nf04
acz,瑞典查尔姆斯理工大学,瑞典查尔姆斯理工大学,[pin],root-node,acz,瑞典查尔姆斯理工大学,{},nf04
act,日本早稻田言语学院,日本早稻田言语学院,[pin],root-node,act,日本早稻田言语学院,{},nf04
ad0,瑞典舍夫德大学,瑞典舍夫德大学,[pin],root-node,ad0,瑞典舍夫德大学,{},nf04
acy,瑞典 舍夫德大学,瑞典 舍夫德大学,[pin],root-node,acy,瑞典 舍夫德大学,{},nf04
ad1,瑞庭网络技术（上海）有限公司,瑞庭网络技术（上海）有限公司,ent,root-node,ad1,瑞庭网络技术（上海）有限公司,"{""2010-01-23"":""2025-01-23""}",nf04
ad5,三只松鼠股份有限公司,三只松鼠股份有限公司,ent,root-node,ad5,三只松鼠股份有限公司,{},nf04
ad6,厦门大学,厦门大学,pin,root-node,ad6,厦门大学,{},nf04
ad2,三七互娱网络科技集团股份有限公司,三七互娱网络科技集团股份有限公司,ent,root-node,ad2,三七互娱网络科技集团股份有限公司,{},nf04
ad4,三一重机有限公司,三一重机有限公司,ent,b6s,b6s,三一重工股份有限公司,"{""2008-01-23"":""2023-01-23""}",nf04
ad3,三星电子（中国）研发中心,三星电子（中国）研发中心,ent,avl,avl,三星电子,{},[glb]
ad7,厦门轨道建设发展集团有限公司,厦门轨道建设发展集团有限公司,ent,root-node,ad7,厦门轨道建设发展集团有限公司,{},nf04
ad8,厦门国际银行股份有限公司龙岩分行,厦门国际银行股份有限公司龙岩分行,ent,root-node,ad8,厦门国际银行股份有限公司龙岩分行,{},nf04
adc,山东航天电子技术研究所（涉密）,山东航天电子技术研究所（涉密）,ent,root-node,adc,山东航天电子技术研究所（涉密）,"{""2012-01-23"":""2024-01-23""}",nf04
ada,山东岱微电子有限公司,山东岱微电子有限公司,ent,root-node,ada,山东岱微电子有限公司,"{""2022-01-23"":""2025-01-23""}",nf04
add,山东省昌邑市公共就业和人才服务中心,山东省昌邑市公共就业和人才服务中心,pin,root-node,add,山东省昌邑市公共就业和人才服务中心,{},nf04
ade,山东省交通规划设计院集团有限公司,山东省交通规划设计院集团有限公司,ent,at8,at8,山东高速集团有限公司,"{""2016-01-23"":""2025-01-23""}",[glb]
adf,山东希幔环保科技有限公司,山东希幔环保科技有限公司,ent,root-node,adf,山东希幔环保科技有限公司,{},nf04
adg,山东智赢门窗系统有限公司,山东智赢门窗系统有限公司,ent,root-node,adg,山东智赢门窗系统有限公司,"{""2018-01-23"":""2024-01-23""}",nf04
adh,山石网科通信技术股份有限公司,山石网科通信技术股份有限公司,ent,root-node,adh,山石网科通信技术股份有限公司,"{""2013-01-23"":""2025-01-23""}",nf04
adb,山东高速股份有限公司,山东高速股份有限公司,ent,at8,at8,山东高速集团有限公司,{},[glb]
ad9,山东大学,山东大学,pin,root-node,ad9,山东大学,{},nf04
adi,山西嘉达环境科技有限公司,山西嘉达环境科技有限公司,ent,root-node,adi,山西嘉达环境科技有限公司,{},nf04
adj,陕西省汉中市汉台区人才交流服务中心,陕西省汉中市汉台区人才交流服务中心,pin,root-node,adj,陕西省汉中市汉台区人才交流服务中心,{},nf04
adm,上海爱数信息技术股份有限公司,上海爱数信息技术股份有限公司,ent,root-node,adm,上海爱数信息技术股份有限公司,"{""2012-01-23"":""2023-01-23""}",nf04
ado,上海安托信息技术有限公司,上海安托信息技术有限公司,ent,root-node,ado,上海安托信息技术有限公司,"{""2018-01-23"":""2021-01-23""}",nf04
adk,汕头大学医学院第一附属医院,汕头大学医学院第一附属医院,pin,root-node,adk,汕头大学医学院第一附属医院,{},nf04
adp,上海宝康电子控制工程有限公司,上海宝康电子控制工程有限公司,ent,root-node,adp,上海宝康电子控制工程有限公司,"{""2008-01-23"":""2023-01-23""}",nf04
adr,上海贝泰妮生物科技有限公司,上海贝泰妮生物科技有限公司,ent,root-node,adr,上海贝泰妮生物科技有限公司,"{""2018-01-23"":""2024-01-23""}",nf04
ads,上海壁仞智能科技有限公司,上海壁仞智能科技有限公司,ent,root-node,ads,上海壁仞智能科技有限公司,{},nf04
adq,上海宝信软件股份有限公司,上海宝信软件股份有限公司,ent,aya,bdu,中国宝武钢铁集团有限公司,"{""2008-01-23"":""2023-01-23""}",[glb]
adu,上海冬新信息技术有限公司,上海冬新信息技术有限公司,ent,root-node,adu,上海冬新信息技术有限公司,"{""2022-01-23"":""2025-01-23""}",nf04
adv,上海发网云物流科技有限公司,上海发网云物流科技有限公司,ent,root-node,adv,上海发网云物流科技有限公司,"{""2022-01-23"":""2025-01-23""}",nf04
adw,上海法本信息技术有限公司,上海法本信息技术有限公司,ent,avm,avm,深圳市法本信息技术股份有限公司,{},nf04
adt,上海博达数据通信有限公司,上海博达数据通信有限公司,ent,root-node,adt,上海博达数据通信有限公司,"{""2008-01-23"":""2023-01-23""}",nf04
adx,上海泛微网络科技股份有限公司,上海泛微网络科技股份有限公司,ent,root-node,adx,上海泛微网络科技股份有限公司,"{""2009-01-23"":""2024-01-23""}",nf04
ady,上海飞机设计研究院有限公司,上海飞机设计研究院有限公司,ent,avn,avn,中国商用飞机有限责任公司,"{""2023-01-23"":""2026-01-23"",""2019-01-23"":""2022-01-23""}",nf04
adz,上海飞机制造有限公司,上海飞机制造有限公司,ent,avn,avn,中国商用飞机有限责任公司,"{""2014-01-23"":""2023-01-23""}",nf04
ae0,上海复旦微电子集团股份有限公司,上海复旦微电子集团股份有限公司,ent,root-node,ae0,上海复旦微电子集团股份有限公司,"{""2008-01-23"":""2023-01-23""}",nf04
ae1,上海公安学院,上海公安学院,pin,root-node,ae1,上海公安学院,{},nf04
ae2,上海管易云计算软件有限公司,上海管易云计算软件有限公司,ent,root-node,ae2,上海管易云计算软件有限公司,"{""2016-01-23"":""2025-01-23""}",nf04
ae3,上海海隆软件有限公司,上海海隆软件有限公司,ent,root-node,ae3,上海海隆软件有限公司,"{""2016-01-23"":""2025-01-23""}",nf04
ae4,上海汉时信息科技有限公司,上海汉时信息科技有限公司,ent,root-node,ae4,上海汉时信息科技有限公司,{},nf04
adl,善诚科技发展（上海）有限公司无锡分公司,善诚科技发展（上海）有限公司无锡分公司,ent,at9,at9,善诚科技发展（上海）有限公司,{},nf04
adn,上海安硕信息技术股份有限公司苏州分公司,上海安硕信息技术股份有限公司苏州分公司,ent,ata,ata,上海安硕信息技术股份有限公司,{},nf04
ae6,上海华润万家超市有限公司,上海华润万家超市有限公司,ent,avq,avp,中国华润有限公司,{},[glb]
ae5,上海华瑞银行股份有限公司,上海华瑞银行股份有限公司,ent,root-node,ae5,上海华瑞银行股份有限公司,{},nf04
aea,上海荟力电子商务有限公司,上海荟力电子商务有限公司,ent,root-node,aea,上海荟力电子商务有限公司,{},nf04
aeb,上海交通大学,上海交通大学,pin,root-node,aeb,上海交通大学,{},nf04
ae8,上海华讯网络系统有限公司,上海华讯网络系统有限公司,ent,root-node,ae8,上海华讯网络系统有限公司,"{""2008-01-23"":""2023-01-23""}",nf04
ae9,上海微盟企业发展有限公司,上海微盟企业发展有限公司,ent,root-node,ae9,上海微盟企业发展有限公司,"{""2017-01-23"":""2023-01-23""}",nf04
aec,上海九方云智能科技有限公司,上海九方云智能科技有限公司,ent,root-node,aec,上海九方云智能科技有限公司,"{""2021-01-23"":""2024-01-23""}",nf04
aed,上海玖镕信息科技有限公司,上海玖镕信息科技有限公司,ent,root-node,aed,上海玖镕信息科技有限公司,"{""2022-01-23"":""2025-01-23""}",nf04
aee,上海巨篷网络科技有限公司,上海巨篷网络科技有限公司,ent,root-node,aee,上海巨篷网络科技有限公司,{},nf04
ae7,上海华兴数字科技有限公司苏州分部,上海华兴数字科技有限公司苏州分部,ent,atb,atb,上海华兴数字科技有限公司,{},nf04
aeg,上海钧正网络科技有限公司,上海钧正网络科技有限公司,ent,bb0,bb0,上海哈啰普惠科技有限公司,{},nf04
aej,上海楷登电子科技有限公司,上海楷登电子科技有限公司,ent,root-node,aej,上海楷登电子科技有限公司,{},nf04
aef,上海聚水潭网络科技有限公司,上海聚水潭网络科技有限公司,ent,root-node,aef,上海聚水潭网络科技有限公司,"{""2019-01-23"":""2025-01-23""}",nf04
aek,上海科技大学,上海科技大学,pin,root-node,aek,上海科技大学,{},nf04
aei,上海恺英网络科技有限公司,上海恺英网络科技有限公司,ent,atc,atc,恺英网络股份有限公司,"{""2014-01-23"":""2020-01-23""}",nf04
aeh,上海郡码智能科技有限公司,上海郡码智能科技有限公司,ent,root-node,aeh,上海郡码智能科技有限公司,"{""2019-01-23"":""2022-01-23""}",nf04
aen,上海酷家乐网络科技有限公司,上海酷家乐网络科技有限公司,ent,root-node,aen,上海酷家乐网络科技有限公司,{},nf04
ael,上海科睿展览展示工程科技有限公司,上海科睿展览展示工程科技有限公司,ent,root-node,ael,上海科睿展览展示工程科技有限公司,"{""2012-01-23"":""2023-01-23""}",nf04
aem,上海科之锐人才咨询有限公司北京分公司,上海科之锐人才咨询有限公司北京分公司,ent,atd,atd,北京科锐国际人力资源股份有限公司,{},nf04
aep,上海乐奇文化传媒有限公司,上海乐奇文化传媒有限公司,ent,root-node,aep,上海乐奇文化传媒有限公司,{},nf04
aes,上海联影医疗科技股份有限公司,上海联影医疗科技股份有限公司,ent,root-node,aes,上海联影医疗科技股份有限公司,"{""2015-01-23"":""2024-01-23""}",nf04
aet,上海米哈游天命科技有限公司,上海米哈游天命科技有限公司,ent,root-node,aet,上海米哈游天命科技有限公司,"{""2021-01-23"":""2024-01-23""}",nf04
aeu,上海农村商业银行股份有限公司,上海农村商业银行股份有限公司,ent,root-node,aeu,上海农村商业银行股份有限公司,{},nf04
aeo,上海来这儿网络科技有限公司,上海来这儿网络科技有限公司,ent,root-node,aeo,上海来这儿网络科技有限公司,{},nf04
aeq,上海理想汽车科技有限公司,上海理想汽车科技有限公司,ent,root-node,aeq,上海理想汽车科技有限公司,"{""2023-01-23"":""2026-01-23""}",nf04
aev,上海暖叠网络科技有限公司,上海暖叠网络科技有限公司,ent,root-node,aev,上海暖叠网络科技有限公司,"{""2022-01-23"":""2025-01-23""}",nf04
aex,上海浦东发展银行股份有限公司合肥综合中心,上海浦东发展银行股份有限公司合肥综合中心,ent,aew,aew,上海浦东发展银行股份有限公司,{},[glb]
aey,上海七猫文化传媒有限公司,上海七猫文化传媒有限公司,ent,root-node,aey,上海七猫文化传媒有限公司,{},nf04
aez,上海擎朗智能科技有限公司,上海擎朗智能科技有限公司,ent,root-node,aez,上海擎朗智能科技有限公司,"{""2017-01-23"":""2023-01-23""}",nf04
af0,上海热血网络科技有限公司,上海热血网络科技有限公司,ent,root-node,af0,上海热血网络科技有限公司,"{""2022-01-23"":""2025-01-23""}",nf04
af1,上海生腾数据科技有限公司苏州分公司,上海生腾数据科技有限公司苏州分公司,ent,ate,ate,上海生腾数据科技有限公司,{},nf04
af2,上海识装信息科技有限公司,上海识装信息科技有限公司,ent,root-node,af2,上海识装信息科技有限公司,"{""2018-01-23"":""2024-01-23""}",nf04
af3,上海世外智慧教育科技有限公司,上海世外智慧教育科技有限公司,ent,root-node,af3,上海世外智慧教育科技有限公司,"{""2018-01-23"":""2024-01-23""}",nf04
aew,上海浦东发展银行股份有限公司,上海浦东发展银行股份有限公司,ent,root-node,aew,上海浦东发展银行股份有限公司,{},glb
af4,上海树栎智能科技有限公司,上海树栎智能科技有限公司,ent,root-node,af4,上海树栎智能科技有限公司,{},nf04
af6,上海随训通电子科技有限公司,上海随训通电子科技有限公司,ent,root-node,af6,上海随训通电子科技有限公司,"{""2021-01-23"":""2024-01-23""}",nf04
af5,上海苏宁金融服务有限公司南京分公司,上海苏宁金融服务有限公司南京分公司,ent,axn,axn,苏宁环球股份有限公司,{},nf04
af8,上海推想生物科技有限公司,上海推想生物科技有限公司,ent,root-node,af8,上海推想生物科技有限公司,{},nf04
af9,上海完美时空软件有限公司,上海完美时空软件有限公司,ent,root-node,af9,上海完美时空软件有限公司,"{""2019-01-23"":""2025-01-23""}",nf04
afa,上海万向区块链股份公司,上海万向区块链股份公司,ent,root-node,afa,上海万向区块链股份公司,"{""2019-01-23"":""2025-01-23""}",nf04
aer,上海莉莉丝科技股份有限公司,上海莉莉丝科技股份有限公司,ent,root-node,aer,上海莉莉丝科技股份有限公司,"{""2016-01-23"":""2019-01-23""}",nf04
afb,上海微创软件股份有限公司无锡分公司,上海微创软件股份有限公司无锡分公司,ent,root-node,afb,上海微创软件股份有限公司无锡分公司,{},nf04
afd,上海蔚来汽车有限公司,上海蔚来汽车有限公司,ent,ban,ban,蔚来集团,"{""2017-01-23"":""2023-01-23""}",nf04
afc,上海维塔士电脑软件有限公司,上海维塔士电脑软件有限公司,ent,root-node,afc,上海维塔士电脑软件有限公司,"{""2021-01-23"":""2024-01-23"",""2008-01-23"":""2017-01-23""}",nf04
aff,上海闻泰信息技术有限公司,上海闻泰信息技术有限公司,ent,azu,baq,闻泰科技股份有限公司,"{""2018-01-23"":""2024-01-23""}",nf04
afe,上海闻泰电子科技有限公司,上海闻泰电子科技有限公司,ent,azu,baq,闻泰科技股份有限公司,"{""2008-01-23"":""2023-01-23""}",nf04
afg,上海小鹏汽车科技有限公司,上海小鹏汽车科技有限公司,ent,bb1,bb1,小鹏汽车有限公司,"{""2022-01-23"":""2025-01-23""}",nf04
afi,上海巡智科技有限公司,上海巡智科技有限公司,ent,root-node,afi,上海巡智科技有限公司,"{""2022-01-23"":""2025-01-23""}",nf04
af7,上海途虎信息技术有限公司,上海途虎信息技术有限公司,ent,root-node,af7,上海途虎信息技术有限公司,"{""2019-01-23"":""2025-01-23""}",nf04
afh,上海寻梦信息技术有限公司,上海寻梦信息技术有限公司,ent,root-node,afh,上海寻梦信息技术有限公司,"{""2018-01-23"":""2024-01-23""}",nf04
afj,上海亚朵商业管理（集团）股份有限公司,上海亚朵商业管理（集团）股份有限公司,ent,root-node,afj,上海亚朵商业管理（集团）股份有限公司,{},nf04
afk,上海衍光网络科技有限公司,上海衍光网络科技有限公司,ent,root-node,afk,上海衍光网络科技有限公司,{},nf04
afl,上海银行股份有限公司,上海银行股份有限公司,ent,root-node,afl,上海银行股份有限公司,{},nf04
afp,上海友塔网络科技有限公司,上海友塔网络科技有限公司,ent,root-node,afp,上海友塔网络科技有限公司,{},nf04
afo,上海游奇网络有限公司,上海游奇网络有限公司,ent,root-node,afo,上海游奇网络有限公司,"{""2013-01-23"":""2025-01-23""}",nf04
afm,上海寅诺管理咨询有限公司,上海寅诺管理咨询有限公司,ent,root-node,afm,上海寅诺管理咨询有限公司,{},nf04
afr,上海煜全钢结构有限公司,上海煜全钢结构有限公司,ent,root-node,afr,上海煜全钢结构有限公司,{},nf04
afq,上海禹璨信息技术有限公司,上海禹璨信息技术有限公司,ent,root-node,afq,上海禹璨信息技术有限公司,{},nf04
aft,上海远景科创智能科技有限公司,上海远景科创智能科技有限公司,ent,root-node,aft,上海远景科创智能科技有限公司,"{""2021-01-23"":""2024-01-23""}",nf04
afu,上海展湾信息科技有限公司,上海展湾信息科技有限公司,ent,root-node,afu,上海展湾信息科技有限公司,"{""2017-01-23"":""2023-01-23""}",nf04
afs,上海元好知识产权代理有限公司,上海元好知识产权代理有限公司,ent,root-node,afs,上海元好知识产权代理有限公司,{},nf04
afn,上海英方软件股份有限公司,上海英方软件股份有限公司,ent,root-node,afn,上海英方软件股份有限公司,"{""2016-01-23"":""2025-01-23""}",nf04
afv,上海臻敬实业有限公司,上海臻敬实业有限公司,ent,root-node,afv,上海臻敬实业有限公司,{},nf04
afz,尚链技术（上海）有限公司,尚链技术（上海）有限公司,ent,root-node,afz,尚链技术（上海）有限公司,{},nf04
afy,上汽大通汽车有限公司无锡分公司,上汽大通汽车有限公司无锡分公司,ent,atf,atf,上海汽车集团股份有限公司,{},[glb]
ag0,绍兴文理学院,绍兴文理学院,pin,root-node,ag0,绍兴文理学院,{},nf04
ag1,射阳县县委机要局,射阳县县委机要局,gpo,root-node,ag1,射阳县县委机要局,{},nf04
ag2,深信服科技股份有限公司,深信服科技股份有限公司,ent,root-node,ag2,深信服科技股份有限公司,"{""2008-01-23"":""2023-01-23""}",nf04
ag3,深圳宝新创科技股份有限公司,深圳宝新创科技股份有限公司,ent,root-node,ag3,深圳宝新创科技股份有限公司,"{""2021-01-23"":""2024-01-23""}",nf04
ag4,深圳慧通商务有限公司,深圳慧通商务有限公司,ent,asy,asy,华为投资控股有限公司,{},[glb]
ag5,深圳见康智能科技有限公司,深圳见康智能科技有限公司,ent,root-node,ag5,深圳见康智能科技有限公司,{},nf04
afw,上海智奥一号店信息技术有限公司,上海智奥一号店信息技术有限公司,ent,a13,auz,京东集团股份有限公司,{},[glb]
afx,上海紫灏信息技术有限公司,上海紫灏信息技术有限公司,ent,root-node,afx,上海紫灏信息技术有限公司,"{""2019-01-23"":""2025-01-23""}",nf04
ag6,深圳雷霆信息技术有限公司,深圳雷霆信息技术有限公司,ent,bjw,bjw,厦门吉比特网络技术股份有限公司,{},nf04
ag8,深圳市富途网络科技有限公司,深圳市富途网络科技有限公司,ent,root-node,ag8,深圳市富途网络科技有限公司,"{""2020-01-23"":""2023-01-23""}",nf04
ag7,深圳市城市交通规划设计研究中心股份有限公司,深圳市城市交通规划设计研究中心股份有限公司,ent,root-node,ag7,深圳市城市交通规划设计研究中心股份有限公司,"{""2009-01-23"":""2024-01-23""}",nf04
aga,深圳市鸿合创新信息技术有限责任公司北京分公司,深圳市鸿合创新信息技术有限责任公司北京分公司,ent,ath,ath,深圳市鸿合创新信息技术有限责任公司,{},nf04
agb,深圳市尚游网络科技有限公司,深圳市尚游网络科技有限公司,ent,root-node,agb,深圳市尚游网络科技有限公司,{},nf04
agd,深圳香江控股股份有限公司广州分公司,深圳香江控股股份有限公司广州分公司,ent,ati,ati,深圳香江控股股份有限公司,{},nf04
age,深圳逸凯餐饮管理有限公司上海南京东路分公司,深圳逸凯餐饮管理有限公司上海南京东路分公司,ent,root-node,age,深圳逸凯餐饮管理有限公司上海南京东路分公司,{},nf04
agc,深圳虾皮信息科技有限公司,深圳虾皮信息科技有限公司,ent,root-node,agc,深圳虾皮信息科技有限公司,"{""2020-01-23"":""2023-01-23""}",nf04
agf,神州数码系统集成服务有限公司西安分公司,神州数码系统集成服务有限公司西安分公司,ent,atj,atk,神州数码信息服务集团股份有限公司,{},nf04
agi,石家庄苏宁易购商贸有限公司,石家庄苏宁易购商贸有限公司,ent,atl,atl,苏宁易购集团股份有限公司,{},nf04
agg,圣塔克拉拉大学,圣塔克拉拉大学,[pin],root-node,agg,圣塔克拉拉大学,{},nf04
agk,首都在线信息科技（上海）有限公司,首都在线信息科技（上海）有限公司,ent,atm,atm,北京首都在线科技股份有限公司,"{""2015-01-23"":""2024-01-23""}",nf04
agj,首都师范大学,首都师范大学,pin,root-node,agj,首都师范大学,{},nf04
agh,盛趣信息技术（上海）有限公司,盛趣信息技术（上海）有限公司,ent,root-node,agh,盛趣信息技术（上海）有限公司,"{""2008-01-23"":""2023-01-23""}",nf04
agl,四川长虹电器股份有限公司,四川长虹电器股份有限公司,ent,avs,avs,四川长虹电子控股集团有限公司,"{""2009-01-23"":""2018-01-23""}",nf04
